comment
"
					난 입사면접에 임원들이
회사 언제까지 다닐거예요? 해서
예? 했더니
결혼하고 애낳으면 그만둘거잖아 언제 그만둘거냐고 이러길래
비혼할거라했다가 옆 남자면접자 끌어들여서 나 비웃고 떨어짐
				"
"
					이것도 문제지만 출산휴가 나가면 그 자리 안 채워주는 것도 문제임 공기업은 그런게 덜 한데 사기업은 안 채워주는 경우가 있어서 주변 사람들이 더 힘들어지는 ..
				"
"
					둘중 하나만 해라
애 언제낳냐고 물어보질 말던가 애낳는다고 짜르질 말던가
하긴 그게 됐으면 지금 이지랄나진 않았지
				"
"
					삭제된 댓글입니다. (삭제일시: 2023/03/12 17:37:55)
				"
"
					이래놓고 저출산을 걱정하냐 ㅋㅋ
				"
"
					남자친구 있냐 결혼 할거냐 이런 질문 들어본 적 있긴 함..
				"
"
					면접에서 결혼 묻는거부터 하지말라그래 ㅅㅂ 안한다고 하면 그것도 뭐라하더라 어쩌라는거야
				"
"
					좆소 가면 결혼 계획 잇냐 애인 있냐 묻는거 아직도 잇음ㅋㅋㅋㅋㅋㅋㅋㅋ 면접 볼때마다 자괴감든다
				"
"
					☞2덬 ㅇㅇ 그게 정말 큰 문제라고 생각해. 우리는 출휴 갔다가 이제 돌아오나? 했더니 그만두는 경우가 있어서 진짜 피눈물이.. ㅠ_ㅠ
				"
"
					삭제된 댓글입니다. (삭제일시: 2024/10/26 12:21:51)
				"
"
					저러는데 무슨 결혼하고 애낳으라고 지랄들이냐고
				"
"
					저러면서 무슨 저출산국가라고 난리치는지
				"
"
					낳아도 지랄 안낳아도 지랄
				"
"
					걍 소멸하자 씨발놈들아
				"
"
					아 결혼해서 애 낳으면 잘리는데 누가 애 낳아요 ㅋㅋㅋ 호구냐
				"
"
					저게 지금 몇십년 전부터 계속 있었던 일인데 하나도 바뀌는게 없어 그러면서 출산률 낮다고 지랄이야
				"
"
					출산휴가자 대체인력 안뽑아주면 동료들이 회사를 욕하는 게 아니라 휴가자를 욕함. 자출산 저출산 국가적 문제라고 말하면서 막상 출산육아 제도 활용하려고 하면 회사에서 차별하거나 백안시하거나 이기적으로 모는 풍조가 개인부터 조직까지 만연함..이걸 법적으로 처벌하지 않으면 답이 없어
				"
"
					삭제된 댓글입니다.
				"
"
					좀 나이먹고 면접볼때랑 이직하면서 자주 그러던데 결혼이나 출산 생각있냐고 왜여? ㅋㅋ
				"
"
					삭제된 댓글입니다. (삭제일시: 2023/06/20 16:39:36)
				"
"
					낳으면 일에 피해줘서 이기적이라고 지랄 안낳으면 사회에 보탬ㅅㅂㅋㅋ안된다고 이기적이라고 지랄
				"
"
					삭제된 댓글입니다. (삭제일시: 2024/03/17 13:51:04)
				"
"
					삭제된 댓글입니다. (삭제일시: 2025/03/24 14:21:57)
				"
"
					나도 입사할때 삼년 안으로 결혼 할 생각 있는지 물어보더라ㅋㅋㅋㅋ
				"
"
					삭제된 댓글입니다.
				"
"
					삭제된 댓글입니다. (삭제일시: 2023/03/12 23:47:30)
				"
"
					회사 두개 중견듭 다녀봤는데 출산휴가도 3개월 고작 주던데.. 이게 맞나 육휴는 없었고..
				"
"
					20대후반덬 이직하는데 다 물어보더라 결혼할거냐고ㅋㅋ 결혼 계획있으면 안뽑을려고
				"
"
					애안낳는다고 민폐타령 애낳고 출산휴가 쓴다니까 민폐타령 이래도 저래도 민폐타령 그래놓고 저출산 웅엥할거냐고
				"
"
					삭제된 댓글입니다. (삭제일시: 2023/03/11 00:30:56)
				"
"
					우리 회사가 진짜 좋은 회사인갑다 육아휴직을 1년냈다 6개월만 쓴댔다 1년반을 쓴댔다 난리를 쳐도 받아주던데
				"
"
					삭제된 댓글입니다. (삭제일시: 2023/06/07 00:07:29)
				"
"
					더쿠 핫게만해도 출산휴가 육아휴직 쓴다고 자기 회사 이야기하면서 팀원욕하는 댓글 한바가지였는데 뭐
				"
"
					☞1덬 ㅋㅋ 그런 병신회사 다녀도 사는게 좆같을듯

나도 면접관이 나보고 나이찼는데 결혼하고 그만두는거 아니냐 하길래 결혼안할거라고 했더니 ""아니 왜요?;;;;"" 이지랄하더라
				"
"
					ㄹㅇ 그래놓고 나 결혼 안하고 있으니까 무묭씨 왜 결혼 안하냐고 함ㅋㅋㅋㅋㅋㅋ
				"
"
					삭제된 댓글입니다. (삭제일시: 2024/12/07 01:53:22)
				"
"
					근데 휴직끝나자마자 퇴사 흔하긴함 내친구도 그렇게했던데
				"
"
					☞34덬 병신이 괜히 병신인가 지가 앞에 씨부린 말은 기억못하고 되는대로 지껄이는게 병신이지
				"
"
					우리는 휴직 기다려줬는데 그대로 퇴사하더라.. 그래서 회사에서 안해주나 싶기도 하고
그냥 양가감정이 느껴짐..
				"
"
					예전 회사도 임심하면 바로 짤라서 여자직원이 결혼한다고 하면 곧 짤리겠구나 자동 생각되더라
				"
"
					휴직하고오면 퇴사할것같다고 흔하게 생각하긴 하나봐.. 나도 임신하니까 절대 그만두면 안된다고 엄청 강조하더라궁..
				"
"
					☞33덬 ㄹㅇㅋㅋ..
				"
"
					삭제된 댓글입니다. (삭제일시: 2023/09/05 12:55:12)
				"
"
					☞34덬 ㅇㅇ 그회사 좆같아서 미련도없음ㅋㅋㅋㅋ지금회사는 결혼고나리도 없고 내 사생활간섭없어서 좋아
				"
"
					삭제된 댓글입니다. (삭제일시: 2025/01/05 23:45:00)
				"
"
					삭제된 댓글입니다. (삭제일시: 2023/04/11 23:52:34)
				"
"
					이러니까 안 낳는다고요 다같이 죽자
				"
"
					☞43덬 이거지...사람 충분히 뽑아 놓으면 빠진 동료 욕 안함
				"
"
					삭제된 댓글입니다. (삭제일시: 2023/05/15 01:00:09)
				"
"
					이미 임출육 경험 있는 여자 상사들이 후배들 육휴 들어간다하면 민폐 취급 하는게 존나 어이가 없음 ㅋㅋㅋㅋㅋㅋㅋㅋ 
그래놓고 생각 없는 나한테는 왜 결혼 안하냐고 고나리들을 해싸대는지 시발..
				"
"
					회사도 문제고 남자들이 육아 참여하면 여자들도 회사 덜 빠질텐데 문제가 한두가지가 아니야 이 나라는
				"
"
					☞48덬 사람 안 뽑아주는 회사를 욕 해야지 사람 안 뽑았다고 출산휴가 간 동료를 욕하는게 정당화되나
				"
"
					지금 내 상황 ㅋㅋㅋㅋ 진짜 출생율 찐 0% 도전하는 나라! ^^
				"
"
					뭘 해도 지랄이니 내 몸이라도 편한 길 찾는거지
				"
"
					이래도 욕먹고 저래도 욕먹으니 걍 내 몸이라도 편한 출산 포기로 가는 것임
				"
"
					직원들도 출산휴가 쓰면 눈치주고 욕하는 분위긴데 윗대가리들이 바뀔리가
				"
"
					삭제된 댓글입니다. (삭제일시: 2023/11/16 16:37:52)
				"
"
					기록적인 저출생률에도 정신 못차리는데 답이 없다 답이
				"
"
					여자 육휴만 따지지 말고 남자 육휴나 의무화 해라
				"
"
					삭제된 댓글입니다. (삭제일시: 2023/03/23 21:54:01)
				"
"
					삭제된 댓글입니다. (삭제일시: 2023/03/27 07:54:31)
				"
"
					삭제된 댓글입니다. (삭제일시: 2023/05/15 00:26:01)
				"
"
					주변만 봐도 맞벌이하면서 애도낳으라고 하던데 우리회사는 안됨 이런 마인드인데 누가 일하면서 애 낳으려 하겠어....
				"
"
					ㅎ...
				"
"
					여기도 휴직 기다려줫더니 퇴사했다 이런댓글 달리니까 소멸하는게 맞을지도... 대체인력 안뽑는 회사탓이지 마치 이익만 뽑아먹고 런하는거처럼 생각하는 사람들도 잇자나. 어린이집 안구해지거나 아기가 아프거나 여러 사정으로 복직을 포기하고 퇴사할수도 있고 육아휴직은 권리인건데 그거 쓰고 퇴사한다는걸 뭐라고하려면 퇴사전 잔여휴가 다 쓰고 퇴사하는거도 문제란거라 같은 의미임
				"
"
					저 댓글 현실인게...
				"
"
					삭제된 댓글입니다. (삭제일시: 2023/03/08 23:39:22)
				"
"
					삭제된 댓글입니다. (삭제일시: 2023/03/12 22:03:29)
				"
"
					우리나라는 주제에 출생율이 너무 높아. 남성 육아휴직 일년을 의무화 해야함
				"
